Name,# Features,# Categorical Features,# Instances,# Classes,# NaNs,Minority Class Size,id
AP_Colon_Prostate,10936,1,355,2,0,69,1135
ionosphere,35,1,351,2,0,126,59
SPECTF,45,1,349,2,0,95,337
AP_Endometrium_Colon,10936,1,347,2,0,61,1133
penguins,7,3,344,3,18,68,42585
leaf,16,1,340,30,0,8,1482
AP_Omentum_Kidney,10936,1,337,2,0,77,1147
AP_Prostate_Kidney,10936,1,329,2,0,69,1144
CastMetal1,38,1,327,2,0,42,1447
AP_Ovary_Lung,10937,1,324,2,0,126,1140
visualizing_galaxy,5,1,323,2,0,148,925
AP_Ovary_Uterus,10936,1,322,2,0,124,1162
AP_Endometrium_Kidney,10936,1,321,2,0,61,1157
plasma_retinol,14,4,315,2,0,133,915
solar-flare,13,13,315,5,0,21,40686
tr12.wc,5805,1,313,8,0,9,397
diggle_table_a2,9,1,310,9,0,18,694
vertebra-column,7,1,310,3,0,60,1523
haberman,4,2,306,2,0,81,43
heart-c,14,8,303,2,7,138,49
cleveland,14,8,303,2,6,139,786
cholesterol,14,8,303,2,6,137,798
cleve,14,9,303,2,0,138,40710
cleveland-nominal,8,8,303,5,0,13,40711
CostaMadre1,38,1,296,2,0,38,1446
Heart_disease_prediction_20,14,1,296,2,0,137,44149
breast-cancer,10,10,286,2,9,85,13
breastTumor,10,9,286,2,9,120,844
analcatdata_broadwaymult,8,5,285,7,27,21,452
mu284,11,1,284,2,0,142,880
ovarianTumour,54622,1,283,3,0,18,1086
DiabeticMellitus,98,1,281,2,2,99,41430
breast-cancer-dropped-missing-attributes-values,10,10,277,2,0,81,23499
AP_Omentum_Ovary,10936,1,275,2,0,77,1156
jEdit_4.0_4.2,9,1,274,2,0,134,1073
heart-statlog,14,1,270,2,0,120,53
AP_Prostate_Ovary,10936,1,267,2,0,69,1152
SPECT,23,23,267,2,0,55,336
Touch2,11,1,265,8,0,27,42544
analcatdata_lawsuit,5,2,264,2,0,19,450
rmftsa_ctoarrivals,3,2,264,2,0,101,811
AP_Endometrium_Ovary,10936,1,259,2,0,61,1159
MegaWatt1,38,1,253,2,0,27,1442
bodyfat,15,1,252,2,0,124,778
AP_Lung_Uterus,10936,1,250,2,0,124,1136
qualitative-bankruptcy,7,7,250,2,0,107,1495
prnn_synth,3,1,250,2,0,125,464
conference_attendance,7,7,246,2,0,31,41538
tecator,125,1,240,2,0,102,851
chatfield_4,13,1,235,2,0,93,820
chscase_whale,9,1,228,2,20,111,939
lungcancer_GSE31210,24,3,226,2,0,35,1412
chscase_geyser1,3,1,222,2,0,88,895
BurkittLymphoma,22284,1,220,3,0,44,1084
thyroid-new,6,1,215,3,0,30,40682
mouseType,45102,1,214,7,0,13,1083
glass,10,1,214,6,0,9,41
prnn_fglass,10,1,214,2,0,76,996
seeds,8,1,210,3,0,70,1499
biomed,9,2,209,2,15,75,481
cpu,8,2,209,2,0,53,796
machine_cpu,7,1,209,2,0,56,733
sonar,61,1,208,2,0,97,40
tr23.wc,5833,1,204,6,0,6,388
AP_Omentum_Lung,10936,1,203,2,0,77,1132
regime_alimentaire,20,17,202,2,17,41,42172
AP_Omentum_Uterus,10936,1,201,2,0,77,1124
dataset-autoHorse_fixed,69,1,201,186,0,1,42223
arcene,10001,1,200,2,0,88,1458
heart-long-beach,14,1,200,5,0,10,1512
pwLinear,11,1,200,2,0,97,721
prnn_crabs,8,2,200,2,0,100,446
AP_Prostate_Lung,10936,1,195,2,0,69,1155
parkinsons,23,1,195,2,0,48,1488
pharynx,11,10,195,2,2,74,738
KnuggetChase3,40,1,194,2,0,36,1448
wisconsin,33,1,194,2,0,90,753
flags,29,27,194,8,0,4,285
AP_Prostate_Uterus,10936,1,193,2,0,69,1131
GCM,16064,1,190,14,0,10,1106
lowbwt,10,8,189,2,0,90,941
AP_Endometrium_Lung,10936,1,187,2,0,61,1154
triazines,61,1,186,2,0,77,788
AP_Endometrium_Uterus,10936,1,185,2,0,61,1164
chscase_funds,3,1,185,2,0,87,801
planning-relax,13,1,182,2,0,52,1490
Smartphone-Based_Recognition_of_Human_Activities,68,2,180,6,0,30,4153
backache,32,27,180,2,0,25,463
wine,14,1,178,3,0,48,187
servo,5,5,167,2,0,38,747
robot-failures-lp5,91,1,164,5,0,21,1520
analcatdata_wildcat,6,3,163,2,0,47,748
mc2,40,1,161,2,0,52,1054
corral,7,7,160,2,0,70,40669
hayes-roth,5,1,160,3,0,31,329
anthracyclineTaxaneChemotherapy,61360,1,159,2,0,64,1085
auto_price,16,2,159,2,0,54,745
autoPrice,16,1,159,2,0,54,756
analcatdata_gsssexsurvey,10,6,159,2,6,35,852
TuningSVMs,81,1,156,2,0,54,41976
grub-damage,9,7,155,4,0,19,338
teachingAssistant,7,5,151,3,0,49,1115
tae,6,3,151,3,0,49,48
iris,5,1,150,3,0,50,61
iris-example,5,1,150,3,0,50,42261
sleuth_case2002,7,5,147,2,0,69,902
AP_Omentum_Prostate,10936,1,146,2,0,69,1125
kc1-top5,95,1,145,2,0,8,1045
kc1-binary,95,1,145,2,0,60,1066
newton_hema,4,2,140,2,0,70,784
AP_Endometrium_Omentum,10936,1,138,2,0,61,1151
veteran,8,5,137,2,0,43,719
analcatdata_boxing2,4,4,132,2,0,61,444
analcatdata_seropositive,4,2,132,2,0,46,921
transplant,4,1,131,2,0,48,885
AP_Endometrium_Prostate,10936,1,130,2,0,61,1141
datatrieve,9,1,130,2,0,11,1075
visualizing_livestock,3,2,130,5,0,26,685
humandevel,2,1,130,2,0,65,924
mux6,7,7,128,2,0,64,40681
lsvt,311,1,126,2,0,42,1484
MindCave2,40,1,125,2,0,44,1450
fruitfly,5,3,125,2,0,49,714
KungChi3,40,1,123,2,0,16,1441
heart-switzerland,13,1,123,5,0,5,1513
ar1,30,1,121,2,0,9,1059
analcatdata_boxing1,4,4,120,2,0,42,448
rabe_266,3,1,120,2,0,57,782
robot-failures-lp4,91,1,117,3,0,21,1519
rsctc2010_4,54676,1,113,5,0,10,1080
visualizing_environmental,4,1,111,2,0,53,736
cloud,8,2,108,2,0,32,890
analcatdata_michiganacc,4,3,108,2,0,48,771
ar4,30,1,107,2,0,20,1061
molecular-biology_promoters,58,58,106,2,0,53,164
breast-tissue,10,1,106,6,0,14,1465
rsctc2010_1,22284,1,105,3,0,7,1077
ar6,30,1,101,2,0,15,1064
zoo,17,16,101,7,0,4,62
arcene_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,101,1,100,2,0,44,44573
fertility,10,1,100,2,0,12,1473
analcatdata_creditscore,7,4,100,2,0,27,461
blogger,6,6,100,2,0,32,1463
analcatdata_chlamydia,4,4,100,2,0,19,875
analcatdata_neavote,3,2,100,2,0,7,865
analcatdata_cyyoung8092,11,4,97,2,0,24,465
baskball,5,1,96,2,0,47,731
rsctc2010_3,22278,1,95,5,0,5,1079
sleuth_case1202,7,3,93,2,0,36,891
rsctc2010_6,59005,1,92,5,0,7,1082
analcatdata_cyyoung9302,10,4,92,2,0,19,479
rsctc2010_5,54614,1,89,4,0,10,1081
cm1_req,9,2,89,2,0,20,1055
robot-failures-lp1,91,1,88,4,0,16,1516
visualizing_ethanol,3,1,88,2,0,43,946
sleuth_ex2016,11,2,87,2,0,36,682
lupus,4,1,87,2,0,35,472
analcatdata_asbestos,4,3,83,2,0,37,459
desharnais,12,1,81,3,0,10,1117
kidney,7,4,76,2,0,36,945
olindda_outliers,3,1,75,4,0,12,42793
meta_batchincremental.arff,63,1,74,4,0,3,276
meta_ensembles.arff,63,1,74,4,0,5,277
meta_instanceincremental.arff,63,1,74,4,0,3,278
pyrim,28,1,74,2,0,31,800
analcatdata_gviolence,9,1,74,2,0,31,859
visualizing_hamster,6,1,73,2,0,33,893
leukemia,7130,1,72,2,0,25,1104
confidence,4,1,72,6,0,12,468
hutsof99_logis,8,5,70,2,0,34,804
rabe_176,4,1,70,2,0,35,929
analcatdata_election2000,15,1,67,2,0,18,758
analcatdata_olympic2000,12,1,66,2,0,33,759
rabe_148,6,1,66,2,0,33,894
SyskillWebert-Sheep,3,1,65,2,0,14,376
dbworld-bodies,4703,4703,64,2,0,29,1562
dbworld-bodies-stemmed,3722,3722,64,2,0,29,1561
dbworld-subjects,243,243,64,2,0,29,1564
dbworld-subjects-stemmed,230,230,64,2,0,29,1563
ar3,30,1,63,2,0,8,1060
sleuth_ex1605,6,1,62,2,0,31,755
prnn_viruses,19,9,61,4,0,3,480
SyskillWebert-Bands,3,1,61,3,0,7,380
mbagrade,3,2,61,2,0,29,887
tumors_C,7130,1,60,2,0,21,1107
pollution,16,1,60,2,0,29,882
sleuth_ex2015,8,1,60,2,0,30,683
analcatdata_happiness,4,3,60,3,0,20,40709
elusage,3,2,55,2,0,24,790
squash-stored,25,4,52,3,7,8,340
chscase_vine1,10,1,52,2,0,24,815
analcatdata_japansolvent,9,1,52,2,0,25,467
vineyard,3,1,52,2,0,24,713
rabe_265,7,1,51,2,0,21,780
sleuth_case1201,7,1,50,2,0,24,892
analcatdata_bankruptcy,6,1,50,2,0,25,476
rabe_131,6,1,50,2,0,21,874
aids,5,3,50,2,0,25,346
witmer_census_1980,5,1,50,2,0,24,787
chscase_health,4,2,50,2,0,24,942
diggle_table_a1,5,1,48,2,0,23,817
analcatdata_vehicle,5,5,48,2,0,21,835
robot-failures-lp2,91,1,47,5,0,5,1517
robot-failures-lp3,91,1,47,4,0,3,1518
sleuth_ex1714,8,1,47,2,0,20,777
rabe_97,4,2,46,2,0,21,928
wind_correlations,47,1,45,2,0,22,785
visualizing_slope,4,1,44,2,0,17,729
diabetes_numeric,3,1,43,2,0,17,791
hutsof99_child_witness,16,1,42,2,0,17,927
analcatdata_fraud,12,12,42,2,0,13,40660
sleuth_ex1221,10,2,42,2,0,19,938
bolts,8,1,40,2,0,14,857
rabe_166,2,1,40,2,0,19,919
chscase_adopt,3,1,39,2,0,12,905
schlvote,6,2,38,2,0,10,848
ar5,30,1,36,2,0,8,1062
pasture,23,2,36,3,0,12,339
sleuth_case1102,9,4,34,2,0,15,836
parity5,6,6,32,2,0,16,40714
prnn_cushings,3,1,27,4,0,2,457
analcatdata_challenger,5,4,23,3,0,2,462
Weather,5,3,14,2,0,5,41521
Weather-11.10,5,3,14,2,0,5,43100
test_hate_vects,50,2,4,2,0,1,42554
